repositório,título,descrição,labels
PrestaShop/PrestaShop,probleme-with-php-8.2-in Prestashop-8.2,"### Prerequisites

- [x] I understand and accept the project's [code of conduct](https://github.com/PrestaShop/PrestaShop/blob/develop/CODE_OF_CONDUCT.md).
- [x] I have already [searched in existing issues](https://github.com/PrestaShop/PrestaShop/issues?q=is%3Aissue+label%3ABug) and found no previous report of this bug.

### Describe the bug and add attachments

I upgraded my project from version 8.1 to 8.2, and I'm in an environment that uses PHP 8.2, but my PrestaShop 8.2 website no longer works, and I no longer have access to the administration interface.

<!-- Failed to upload ""WhatsApp Image 2025-07-31 à 12.42.42_d0b68e91.jpg"" -->

### Expected behavior

In principle, given that PrestaShop 8.2 supports PHP 8.2, my website should display correctly, and I should have access to the back office without any issues.

### Steps to reproduce

Access to the website

Connection / Login

Authentication

White page / Blank page

### PrestaShop version(s) where the bug happened

8.2

### How you installed PrestaShop

download package

### PHP version(s) where the bug happened

8.2

### If your bug is related to a module, specify its name and its version

_No response_

### Your company or customer's name goes here (if applicable).

_No response_","Bug, New"
PrestaShop/PrestaShop,Prestashop Minimal product quantity,"### Prerequisites

- [x] I understand and accept the project's [code of conduct](https://github.com/PrestaShop/PrestaShop/blob/develop/CODE_OF_CONDUCT.md).
- [x] I have already [searched in existing issues](https://github.com/PrestaShop/PrestaShop/issues?q=is%3Aissue+label%3ABug) and found no previous report of this bug.

---

### Describe the bug and add attachments

> ❗️Note: This issue occurs **even if the theme is not the Classic theme**.  
> However, the bug is **not caused by the theme itself**, but by the logic of how ""Add to cart"" is handled in product listings when combinations and minimal quantity are involved.

When a product has **combinations** and a **minimal purchase quantity** (e.g. 3), the **product listings view** (category pages, home, featured products, etc.) always assumes a quantity of 1.

If the user clicks ""Add to cart"" from the product list/card (not from the product detail page), nothing happens, and there is no error shown.  
This results in broken UX and lost sales opportunities.

📸 Screenshots:

<img width=""487"" height=""600"" alt=""Product card showing quantity 1"" src=""https://github.com/user-attachments/assets/447ad7de-8288-4fd3-98b9-bd1ad595c4d6"" />

<img width=""705"" height=""344"" alt=""No feedback after clicking Add to cart"" src=""https://github.com/user-attachments/assets/512286d4-9565-4e51-ab61-c81f8e01d836"" />

---

### Expected behavior

The product card should either:

- Display the correct minimal quantity, or
- Redirect the user to the product page to select a valid combination.

If ""Add to cart"" is available directly in the listing, it should respect the minimal quantity set for the default combination.

A proper error message should appear if the quantity is too low.

---

### Steps to reproduce

1. Create a product with combinations (e.g. Size: S, M, L).
2. Set the default combination’s minimal quantity to 3.
3. Place this product in a category or home listing.
4. From the product listing, click ""Add to cart"" without visiting the product page.
5. The product is not added, and no message is shown.

---

### PrestaShop version(s) where the bug happened

8.1.2

---

### How you installed PrestaShop

_No response_

---

### PHP version(s) where the bug happened

_No response_

---

### If your bug is related to a module, specify its name and its version

_No response_

---

### Additional context

We are aware that combination handling in product listings is limited by design, but when minimal quantity is enforced and ""Add to cart"" is visible, the system should not fail silently.  
A safe fallback would be to disable direct cart actions for combination products with constraints, or force redirect to the product page when required.

The current behavior can mislead the customer into thinking the site is broken.

Would you accept a contribution (PR) that disables or redirects the button in these cases?
","Bug, New"
PrestaShop/PrestaShop,Wall of fame - BO not iso with figma,"### Prerequisites

- [x] I understand and accept the project's [code of conduct](https://github.com/PrestaShop/PrestaShop/blob/develop/CODE_OF_CONDUCT.md).
- [x] I have already [searched in existing issues](https://github.com/PrestaShop/PrestaShop/issues?q=is%3Aissue+label%3ABug) and found no previous report of this bug.

### Describe the bug and add attachments

Back to PR https://github.com/PrestaShop/ps_distributionapiclient/pull/46
I tested the issue https://github.com/PrestaShop/PrestaShop/issues/38832
But however it's not iso with figma we don't have pagination but caroussels but also we don't have “@” for names on github and the ""View all"" 


Figma: 
<img width=""944"" height=""383"" alt=""Capture d’écran 2025-07-29 à 15 21 50"" src=""https://github.com/user-attachments/assets/5bbe9c62-76f5-4311-89ad-5b5886cc5536"" />

BO:
<img width=""1625"" height=""541"" alt=""Capture d’écran 2025-07-29 à 15 12 52"" src=""https://github.com/user-attachments/assets/aab52d2c-af39-4d2a-830e-2dcf749af2c6"" />

For the issue: https://github.com/PrestaShop/PrestaShop/issues/38830
We don't have the ""action"" column 
We have ""Merged Pull Requests"" instead of ""Contribs""

Figma: 

<img width=""829"" height=""789"" alt=""Image"" src=""https://github.com/user-attachments/assets/e5fb247c-c1fa-43ef-9f86-8c9f6c68d051"" />

BO:

<img width=""673"" height=""601"" alt=""Image"" src=""https://github.com/user-attachments/assets/f8bf1dec-5496-4fe3-926e-fad918bf81cd"" />

### Expected behavior

_No response_

### Steps to reproduce

1. Go to BO
2. Click On ""Wall of Fame""

### PrestaShop version(s) where the bug happened

9.1.0

### How you installed PrestaShop

_No response_

### PHP version(s) where the bug happened

8.1

### If your bug is related to a module, specify its name and its version

_No response_

### Your company or customer's name goes here (if applicable).

_No response_","Bug, New"
shopware/platform,SwagCommercial cannot be activated after updating to 7.1.1,"### Shopware Version

6.7.1.0

### Affected area / extension

Extension:Commercial

### Actual behaviour

Shopware Commercial Plugin (SwagCommercial) cannot be activated after plugin update to 7.1.1

Error: 

``
Uncaught PHP Exception Symfony\Component\DependencyInjection\Exception\ServiceNotFoundException: ""The service ""Shopware\Commercial\TextGenerator\Domain\Product\DescriptionGenerator"" has a dependency on a non-existent service ""Shopware\Core\Framework\DataAbstractionLayer\Search\SearchConfigLoader"". Did you mean one of these: ""Shopware\Core\Framework\DataAbstractionLayer\EntityGenerator"", ""Shopware\Core\Framework\DataAbstractionLayer\Dbal\SchemaBuilder"", ""Shopware\Core\Framework\DataAbstractionLayer\MigrationFileRenderer"", ""Shopware\Core\Framework\DataAbstractionLayer\MigrationQueryGenerator"", ""Shopware\Core\Framework\DataAbstractionLayer\Cache\EntityCacheKeyGenerator"", ""Shopware\Core\Framework\DataAbstractionLayer\Dbal\JoinGroupBuilder"", ""Shopware\Core\Framework\DataAbstractionLayer\Dbal\EntityHydrator"", ""Shopware\Core\Framework\DataAbstractionLayer\DefinitionValidator"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\Term\Tokenizer"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\Term\SearchTermInterpreter"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\Term\EntityScoreQueryBuilder"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\CriteriaArrayConverter"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\RequestCriteriaBuilder"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\ApiCriteriaValidator"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\Parser\AggregationParser"", ""Shopware\Core\Framework\DataAbstractionLayer\Read\EntityReaderInterface"", ""Shopware\Core\Framework\DataAbstractionLayer\Dbal\CriteriaFieldsResolver"", ""Shopware\Core\Framework\DataAbstractionLayer\Dbal\CriteriaQueryBuilder"", ""Shopware\Core\Framework\DataAbstractionLayer\Write\EntityWriter"", ""Shopware\Core\Framework\DataAbstractionLayer\Write\WriteCommandExtractor"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\Parser\SqlQueryParser"", ""Shopware\Core\Framework\DataAbstractionLayer\Dbal\EntityForeignKeyResolver"", ""Shopware\Core\Framework\DataAbstractionLayer\Version\VersionDefinition"", ""Shopware\Core\Framework\DataAbstractionLayer\Command\RefreshIndexCommand"", ""Shopware\Core\Framework\DataAbstractionLayer\VersionManager"", ""Shopware\Core\Framework\DataAbstractionLayer\DefinitionInstanceRegistry"", ""Shopware\Core\Framework\DataAbstractionLayer\TechnicalNameExceptionHandler"", ""Shopware\Core\Framework\DataAbstractionLayer\Indexing\InheritanceUpdater"", ""Shopware\Core\Framework\DataAbstractionLayer\Indexing\ChildCountUpdater"", ""Shopware\Core\Framework\DataAbstractionLayer\Indexing\TreeUpdater"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\Term\Filter\TokenFilter"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\EntitySearcherInterface"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\EntityAggregatorInterface""?"" at CheckExceptionOnInvalidReferenceBehaviorPass.php line 116 {""exception"":""[object] (Symfony\\Component\\DependencyInjection\\Exception\\ServiceNotFoundException(code: 0): The service \""Shopware\\Commercial\\TextGenerator\\Domain\\Product\\DescriptionGenerator\"" has a dependency on a non-existent service \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\SearchConfigLoader\"". Did you mean one of these: \""Shopware\\Core\\Framework\\DataAbstractionLayer\\EntityGenerator\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Dbal\\SchemaBuilder\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\MigrationFileRenderer\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\MigrationQueryGenerator\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Cache\\EntityCacheKeyGenerator\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Dbal\\JoinGroupBuilder\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Dbal\\EntityHydrator\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\DefinitionValidator\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\Term\\Tokenizer\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\Term\\SearchTermInterpreter\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\Term\\EntityScoreQueryBuilder\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\CriteriaArrayConverter\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\RequestCriteriaBuilder\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\ApiCriteriaValidator\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\Parser\\AggregationParser\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Read\\EntityReaderInterface\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Dbal\\CriteriaFieldsResolver\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Dbal\\CriteriaQueryBuilder\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Write\\EntityWriter\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Write\\WriteCommandExtractor\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\Parser\\SqlQueryParser\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Dbal\\EntityForeignKeyResolver\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Version\\VersionDefinition\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Command\\RefreshIndexCommand\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\VersionManager\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\DefinitionInstanceRegistry\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\TechnicalNameExceptionHandler\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Indexing\\InheritanceUpdater\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Indexing\\ChildCountUpdater\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Indexing\\TreeUpdater\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\Term\\Filter\\TokenFilter\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\EntitySearcherInterface\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\EntityAggregatorInterface\""? at /home/tkassner/files/sw6710/vendor/symfony/dependency-injection/Compiler/CheckExceptionOnInvalidReferenceBehaviorPass.php:116)""} []
``

### Expected behaviour

Shopware Commercial Plugin (SwagCommercial) can be activated without any problems/errors after updating the plugin to 7.1.1.

### How to reproduce

1. Deactivate Shopware Commercial Plugin 7.1.0 (SwagCommercial)
2. Update Plugin in a Stable 6.7.0.1 from 7.1.0 to 7.1.1
3. Activate Shopware Commercial Plugin 7.1.1 (SwagCommercial)
4. Error (see screens)

<img width=""962"" height=""1724"" alt=""Image"" src=""https://github.com/user-attachments/assets/d1acd8c4-e73b-47a9-87e0-24ff8e8c4a44"" />
<img width=""1895"" height=""898"" alt=""Image"" src=""https://github.com/user-attachments/assets/02ada475-79b0-4d00-9f5e-f635814b44c3"" />


### Definition of Done

- [ ] An automated test covers the fix.
- [ ] Integration/E2E testing in staging is done.
- [ ] Changelog markdown file created or updated in /changelog/_unreleased directory.
- [ ] Developer documentation written/updated.
- [ ] End user and/or developer documentation written or updated with clarification.
- [ ] Regression test created to ensure bug does not reappear, and automated regression tests pass.
- [ ] Code changes resolve the reported bug without introducing new issues.","component/core, extension/Commercial, priority/critical, domain/framework, customer-support"
shopware/platform,Media preview file name not centered,"### Shopware Version

6.7.1

### Affected area / extension

Platform(Default)

### Actual behaviour

The file name next to the media file selection preview isn't centered.

<img width=""291"" height=""93"" alt=""Image"" src=""https://github.com/user-attachments/assets/66056b19-f71e-4843-a004-0f8977a1e858"" />

### Expected behaviour

The text should be centered on the y-axis. 

### How to reproduce

Go to any media file selection field with preview, e.g. Admin > Settings > Documents > invoice > company logo and select an image.

### Definition of Done

- [ ] An automated test covers the fix.
- [ ] Integration/E2E testing in staging is done.
- [ ] Changelog markdown file created or updated in /changelog/_unreleased directory.
- [ ] Developer documentation written/updated.
- [ ] End user and/or developer documentation written or updated with clarification.
- [ ] Regression test created to ensure bug does not reappear, and automated regression tests pass.
- [ ] Code changes resolve the reported bug without introducing new issues.","Platform(Default), domain/crm-after-sales"
shopware/platform,Product Description overwriting HTML Code,"### Shopware Version

6.7.1.0

### Affected area / extension

Extension:Commercial

### Actual behaviour

When writing HTML with inline CSS in the product description using the HTML mode, it's possible to create well-formatted and styled layouts.

However, as soon as you switch back to the Standard Editor and make even a small change (e.g. editing a single word), the editor automatically rewrites and strips parts of the custom HTML/CSS code.

Expected Behavior:
The WYSIWYG editor should preserve valid HTML/CSS code written manually in HTML mode, even after switching to or editing within the standard visual editor.

Actual Behavior:
Switching to the Standard Editor and editing content results in:

Inline styles being removed or altered

Custom HTML structure (e.g. <table>, <colgroup>, or styled <td>) being replaced or simplified

Loss of layout integrity

Steps to Reproduce:

Open the product description in HTML mode.

Add a styled HTML block with inline CSS (e.g. table with cell padding or background colors).

Save and switch to the Standard Editor.

Make a small change, like editing a word.

Save again and reopen in HTML mode → custom styles are gone.

Impact:
This behavior makes it difficult or impossible to maintain advanced HTML-based layouts in product descriptions.

### Expected behaviour

If i switch Between HTML to standard Editor side and i write text it shouldt overwrite anything.

### How to reproduce

make a table in the Editor. Go to the html code Editor and change the Table with css. Switch to the standard editor sight and change a word. Save and reload the Website.

### Definition of Done

- [ ] An automated test covers the fix.
- [ ] Integration/E2E testing in staging is done.
- [ ] Changelog markdown file created or updated in /changelog/_unreleased directory.
- [ ] Developer documentation written/updated.
- [ ] End user and/or developer documentation written or updated with clarification.
- [ ] Regression test created to ensure bug does not reappear, and automated regression tests pass.
- [ ] Code changes resolve the reported bug without introducing new issues.","component/administration, extension/Commercial, priority/high, domain/framework"
shopware/platform,Thumbnails not generated,"### Shopware Version

trunk

### Affected area / extension

Platform(Default)

### Actual behaviour

no thumbnails generated.

just trunk fails:
https://github.com/FriendsOfShopware/FroshPlatformThumbnailProcessor/actions/runs/16626823401/job/47045458713

see test: https://github.com/FriendsOfShopware/FroshPlatformThumbnailProcessor/blob/e8e97a3897ca0ea101e40ae96239a05627781ad2/tests/integration/MediaUrlTest.php#L98

How should we create the thumbnails [after this change](https://github.com/shopware/shopware/commit/de8605468da3edb574d9b2e2129ae2920865f79b)?


### Expected behaviour

should have thumbnails generated

### How to reproduce

(see test)
 
- use NamedMimePngEtxPngWithFolder of mediaFixtures
- set folder
- generate thumbnails
- runWorker
- have no thumbnails

### Definition of Done

- [ ] An automated test covers the fix.
- [ ] Integration/E2E testing in staging is done.
- [ ] Changelog markdown file created or updated in /changelog/_unreleased directory.
- [ ] Developer documentation written/updated.
- [ ] End user and/or developer documentation written or updated with clarification.
- [ ] Regression test created to ensure bug does not reappear, and automated regression tests pass.
- [ ] Code changes resolve the reported bug without introducing new issues.","priority/high, Platform(Default), domain/discovery"
shopware/platform,Squished line item document text,"### Shopware Version

6.7.1

### Affected area / extension

Platform(Default)

### Actual behaviour

The line item list in an document is currently squished to the left side of the document.

[Invoice_with_error.pdf](https://github.com/user-attachments/files/21502946/Invoice_with_error.pdf)

### Expected behaviour

The listing should be dsplayed over the full width.

[Invoice_without_error.pdf](https://github.com/user-attachments/files/21502953/Invoice_without_error.pdf)

### How to reproduce

Create a standard invoice document.

### Definition of Done

- [ ] An automated test covers the fix.
- [ ] Integration/E2E testing in staging is done.
- [ ] Changelog markdown file created or updated in /changelog/_unreleased directory.
- [ ] Developer documentation written/updated.
- [ ] End user and/or developer documentation written or updated with clarification.
- [x] Regression test created to ensure bug does not reappear, and automated regression tests pass.
- [ ] Code changes resolve the reported bug without introducing new issues.","component/documents, Platform(Default), domain/crm-after-sales"
shopware/platform,Cloud: Unable to create a Google Shopping saleschannel,"### Shopware Version

cloud

### Affected area / extension

Platform(Default)

### Actual behaviour

No more Google Shopping sales channels can be created in the cloud. Other sales channels are available. The window remains empty.

<img width=""912"" height=""575"" alt=""Image"" src=""https://github.com/user-attachments/assets/b31d8ea5-a2e9-4e39-95c4-83723c84b423"" />

### Expected behaviour

.

### How to reproduce

Create a Google Shopping sales channel in the cloud shop :)

### Definition of Done

- [ ] An automated test covers the fix.
- [ ] Integration/E2E testing in staging is done.
- [ ] Changelog markdown file created or updated in /changelog/_unreleased directory.
- [ ] Developer documentation written/updated.
- [ ] End user and/or developer documentation written or updated with clarification.
- [ ] Regression test created to ensure bug does not reappear, and automated regression tests pass.
- [ ] Code changes resolve the reported bug without introducing new issues.","extension/Social-Shopping, priority/critical, Platform(Default), domain/discovery, customer-support"
shopware/shopware,SwagCommercial cannot be activated after updating to 7.1.1,"### Shopware Version

6.7.1.0

### Affected area / extension

Extension:Commercial

### Actual behaviour

Shopware Commercial Plugin (SwagCommercial) cannot be activated after plugin update to 7.1.1

Error: 

``
Uncaught PHP Exception Symfony\Component\DependencyInjection\Exception\ServiceNotFoundException: ""The service ""Shopware\Commercial\TextGenerator\Domain\Product\DescriptionGenerator"" has a dependency on a non-existent service ""Shopware\Core\Framework\DataAbstractionLayer\Search\SearchConfigLoader"". Did you mean one of these: ""Shopware\Core\Framework\DataAbstractionLayer\EntityGenerator"", ""Shopware\Core\Framework\DataAbstractionLayer\Dbal\SchemaBuilder"", ""Shopware\Core\Framework\DataAbstractionLayer\MigrationFileRenderer"", ""Shopware\Core\Framework\DataAbstractionLayer\MigrationQueryGenerator"", ""Shopware\Core\Framework\DataAbstractionLayer\Cache\EntityCacheKeyGenerator"", ""Shopware\Core\Framework\DataAbstractionLayer\Dbal\JoinGroupBuilder"", ""Shopware\Core\Framework\DataAbstractionLayer\Dbal\EntityHydrator"", ""Shopware\Core\Framework\DataAbstractionLayer\DefinitionValidator"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\Term\Tokenizer"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\Term\SearchTermInterpreter"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\Term\EntityScoreQueryBuilder"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\CriteriaArrayConverter"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\RequestCriteriaBuilder"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\ApiCriteriaValidator"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\Parser\AggregationParser"", ""Shopware\Core\Framework\DataAbstractionLayer\Read\EntityReaderInterface"", ""Shopware\Core\Framework\DataAbstractionLayer\Dbal\CriteriaFieldsResolver"", ""Shopware\Core\Framework\DataAbstractionLayer\Dbal\CriteriaQueryBuilder"", ""Shopware\Core\Framework\DataAbstractionLayer\Write\EntityWriter"", ""Shopware\Core\Framework\DataAbstractionLayer\Write\WriteCommandExtractor"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\Parser\SqlQueryParser"", ""Shopware\Core\Framework\DataAbstractionLayer\Dbal\EntityForeignKeyResolver"", ""Shopware\Core\Framework\DataAbstractionLayer\Version\VersionDefinition"", ""Shopware\Core\Framework\DataAbstractionLayer\Command\RefreshIndexCommand"", ""Shopware\Core\Framework\DataAbstractionLayer\VersionManager"", ""Shopware\Core\Framework\DataAbstractionLayer\DefinitionInstanceRegistry"", ""Shopware\Core\Framework\DataAbstractionLayer\TechnicalNameExceptionHandler"", ""Shopware\Core\Framework\DataAbstractionLayer\Indexing\InheritanceUpdater"", ""Shopware\Core\Framework\DataAbstractionLayer\Indexing\ChildCountUpdater"", ""Shopware\Core\Framework\DataAbstractionLayer\Indexing\TreeUpdater"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\Term\Filter\TokenFilter"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\EntitySearcherInterface"", ""Shopware\Core\Framework\DataAbstractionLayer\Search\EntityAggregatorInterface""?"" at CheckExceptionOnInvalidReferenceBehaviorPass.php line 116 {""exception"":""[object] (Symfony\\Component\\DependencyInjection\\Exception\\ServiceNotFoundException(code: 0): The service \""Shopware\\Commercial\\TextGenerator\\Domain\\Product\\DescriptionGenerator\"" has a dependency on a non-existent service \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\SearchConfigLoader\"". Did you mean one of these: \""Shopware\\Core\\Framework\\DataAbstractionLayer\\EntityGenerator\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Dbal\\SchemaBuilder\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\MigrationFileRenderer\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\MigrationQueryGenerator\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Cache\\EntityCacheKeyGenerator\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Dbal\\JoinGroupBuilder\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Dbal\\EntityHydrator\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\DefinitionValidator\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\Term\\Tokenizer\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\Term\\SearchTermInterpreter\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\Term\\EntityScoreQueryBuilder\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\CriteriaArrayConverter\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\RequestCriteriaBuilder\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\ApiCriteriaValidator\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\Parser\\AggregationParser\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Read\\EntityReaderInterface\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Dbal\\CriteriaFieldsResolver\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Dbal\\CriteriaQueryBuilder\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Write\\EntityWriter\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Write\\WriteCommandExtractor\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\Parser\\SqlQueryParser\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Dbal\\EntityForeignKeyResolver\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Version\\VersionDefinition\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Command\\RefreshIndexCommand\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\VersionManager\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\DefinitionInstanceRegistry\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\TechnicalNameExceptionHandler\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Indexing\\InheritanceUpdater\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Indexing\\ChildCountUpdater\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Indexing\\TreeUpdater\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\Term\\Filter\\TokenFilter\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\EntitySearcherInterface\"", \""Shopware\\Core\\Framework\\DataAbstractionLayer\\Search\\EntityAggregatorInterface\""? at /home/tkassner/files/sw6710/vendor/symfony/dependency-injection/Compiler/CheckExceptionOnInvalidReferenceBehaviorPass.php:116)""} []
``

### Expected behaviour

Shopware Commercial Plugin (SwagCommercial) can be activated without any problems/errors after updating the plugin to 7.1.1.

### How to reproduce

1. Deactivate Shopware Commercial Plugin 7.1.0 (SwagCommercial)
2. Update Plugin in a Stable 6.7.0.1 from 7.1.0 to 7.1.1
3. Activate Shopware Commercial Plugin 7.1.1 (SwagCommercial)
4. Error (see screens)

<img width=""962"" height=""1724"" alt=""Image"" src=""https://github.com/user-attachments/assets/d1acd8c4-e73b-47a9-87e0-24ff8e8c4a44"" />
<img width=""1895"" height=""898"" alt=""Image"" src=""https://github.com/user-attachments/assets/02ada475-79b0-4d00-9f5e-f635814b44c3"" />


### Definition of Done

- [ ] An automated test covers the fix.
- [ ] Integration/E2E testing in staging is done.
- [ ] Changelog markdown file created or updated in /changelog/_unreleased directory.
- [ ] Developer documentation written/updated.
- [ ] End user and/or developer documentation written or updated with clarification.
- [ ] Regression test created to ensure bug does not reappear, and automated regression tests pass.
- [ ] Code changes resolve the reported bug without introducing new issues.","component/core, extension/Commercial, priority/critical, domain/framework, customer-support"
shopware/shopware,Media preview file name not centered,"### Shopware Version

6.7.1

### Affected area / extension

Platform(Default)

### Actual behaviour

The file name next to the media file selection preview isn't centered.

<img width=""291"" height=""93"" alt=""Image"" src=""https://github.com/user-attachments/assets/66056b19-f71e-4843-a004-0f8977a1e858"" />

### Expected behaviour

The text should be centered on the y-axis. 

### How to reproduce

Go to any media file selection field with preview, e.g. Admin > Settings > Documents > invoice > company logo and select an image.

### Definition of Done

- [ ] An automated test covers the fix.
- [ ] Integration/E2E testing in staging is done.
- [ ] Changelog markdown file created or updated in /changelog/_unreleased directory.
- [ ] Developer documentation written/updated.
- [ ] End user and/or developer documentation written or updated with clarification.
- [ ] Regression test created to ensure bug does not reappear, and automated regression tests pass.
- [ ] Code changes resolve the reported bug without introducing new issues.","Platform(Default), domain/crm-after-sales"
