fonte,repositorio,titulo,conteudo,categoria,metadata,timestamp
comentario_issue,magento/magento2,Comentário na issue #40061,"Hi @Denis2310. Thank you for your report. 
To speed up processing of this issue, make sure that the issue is reproducible on the vanilla Magento instance following **Steps to reproduce**. 
- For more details, review the [Magento Contributor Assistant](https://developer.adobe.com/commerce/contributor/guides/code-contributions/#contributor-assistant) documentation.
- Add a comment to [assign the issue](https://developer.adobe.com/commerce/contributor/guides/code-ontributions/#assigning-an-issue): `@magento I am working on this` 
- To learn more about issue processing workflow, refer to the [Code Contributions](https://developer.adobe.com/commerce/contributor/guides/code-contributions/).
---
Join [Magento Community Engineering Slack](https://developer.adobe.com/open/magento/slack) and ask your questions in [#github](https://magentocommeng.slack.com/messages/C7KB93M32) channel. 
 :warning: According to the Magento Contribution requirements, all issues must go through the Community Contributions Triage process. Community Contributions Triage is a public meeting. 
:clock10: You can find the schedule on the [Magento Community Calendar page](https://www.adobe.io/open/magento/calendar).
:telephone_receiver: The triage of issues happens in the queue order. If you want to speed up the delivery of your contribution, join the Community Contributions Triage session to discuss the appropriate ticket.",comentario,{'issue_numero': 40061},2025-08-06T20:14:06.326235
comentario_issue,magento/magento2,Comentário na issue #40061,"Hi @engcom-November. Thank you for working on this issue. 
In order to make sure that issue has enough information and ready for development, please read and check the following instruction: :point_down:
- [ ] 1. Verify that issue has all the required information. (**Preconditions**, **Steps to reproduce**, **Expected result**, **Actual result**).
- [ ] 2. Verify that issue has a meaningful description and provides enough information to reproduce the issue. 
- [ ] 3. Add `Area: XXXXX` label to the ticket, indicating the functional areas it may be related to.
- [ ] 4. Verify that the issue is reproducible on `2.4-develop` branch<details><summary>Details</summary>- If the issue is reproducible on `2.4-develop` branch, please, add the label `Reproduced on 2.4.x`.<br/>- If the issue is not reproducible, add your comment that issue is not reproducible and close the issue and **_stop verification process here_**!</details>
- [ ] 5. Add label `Issue: Confirmed` once verification is complete. 
- [ ] 6. Make sure that automatic system confirms that report has been added to the backlog.",comentario,{'issue_numero': 40061},2025-08-06T20:14:06.326235
comentario_issue,magento/magento2,Comentário na issue #40061,"Hello @Denis2310 ,

Thank you for your report and continued collaboration.

We attempted to reproduce the issue by installing version 2.4.7-p6, but were unable to replicate the issue. For your reference, we’ve attached a screenshot detailing our observations.

![Image](https://github.com/user-attachments/assets/d24c8ef3-4201-4f14-b657-2faba6a746c4)

Could you kindly reinstall the same version on your end and verify if the issue persists? If there are any specific steps we might be missing, please do let us know so we can review further.

In the meantime, we are marking this ticket as ""Issue: Needs Update"" pending your response.

Thank you once again for your support!",comentario,{'issue_numero': 40061},2025-08-06T20:14:06.326235
issue,magento/magento2,Graphql not working on fresh installation 2.4.7-p2,"Issue: Graphql not working on fresh installation 2.4.7-p2

Descrição: ### Preconditions and environment

- Magento version
2.4.7-p2


### Steps to reproduce

I used warden to install localy m2. 
All pages loaded fine.
Admin works
Swagger page worx.

When i enter 
https://app.demo.test/graphql

I have error:
```
{
""errors"": [
{
""message"": ""Syntax Error: Unexpected <EOF>"",
""locations"": [
{
""line"": 1,
""column"": 1
}
],
""extensions"": {
""file"": ""[/var/www/html/vendor/webonyx/graphql-php/src/Language/Parser.php](https://app.demo.test/var/www/html/vendor/webonyx/graphql-php/src/Language/Parser.php)"",
""line"": 433
}
}
]
}
```

in magento 2 exeption

```
Next Exception: Report ID: graph-ql-66f3e9cea655b; Message: Syntax Error: Unexpected <EOF> in /var/www/html/vendor/magento/framework/GraphQl/Exception/ExceptionFormatter.php:64
Stack trace:
#0 /var/www/html/vendor/magento/module-graph-ql/Controller/GraphQl.php(210): Magento\Framework\GraphQl\Exception\ExceptionFormatter->create(Object(GraphQL\Error\SyntaxError))
#1 /var/www/html/vendor/magento/framework/Interception/Interceptor.php(58): Magento\GraphQl\Controller\GraphQl->dispatch(Object(Magento\Framework\App\Request\Http))
#2 /var/www/html/vendor/magento/framework/Interception/Interceptor.php(138): Magento\GraphQl\Controller\GraphQl\Interceptor->___callParent('dispatch', Array)
#3 /var/www/html/vendor/magento/module-page-cache/Model/App/FrontController/BuiltinPlugin.php(72): Magento\GraphQl\Controller\GraphQl\Interceptor->Magento\Framework\Interception\{closure}(Object(Magento\Framework\App\Request\Http))
#4 /var/www/html/vendor/magento/framework/Interception/Interceptor.php(135): Magento\PageCache\Model\App\FrontController\BuiltinPlugin->aroundDispatch(Object(Magento\GraphQl\Controller\GraphQl\Interceptor), Object(Closure), Object(Magento\Framework\App\Request\Http))
#5 /var/www/html/vendor/magento/framework/Interception/Interceptor.php(153): Magento\GraphQl\Controller\GraphQl\Interce",issue_fechada,"{'labels': ['reported on 2.4.7-p2', 'issue: needs update'], 'numero': 39213, 'relevante': False, 'comentarios': 6}",2025-08-06T20:14:07.221988
comentario_issue,magento/magento2,Comentário na issue #39213,"Hi @felek000. Thank you for your report. 
To speed up processing of this issue, make sure that the issue is reproducible on the vanilla Magento instance following **Steps to reproduce**. 
- For more details, review the [Magento Contributor Assistant](https://developer.adobe.com/commerce/contributor/guides/code-contributions/#contributor-assistant) documentation.
- Add a comment to [assign the issue](https://developer.adobe.com/commerce/contributor/guides/code-ontributions/#assigning-an-issue): `@magento I am working on this` 
- To learn more about issue processing workflow, refer to the [Code Contributions](https://developer.adobe.com/commerce/contributor/guides/code-contributions/).
---
Join [Magento Community Engineering Slack](https://developer.adobe.com/open/magento/slack) and ask your questions in [#github](https://magentocommeng.slack.com/messages/C7KB93M32) channel. 
 :warning: According to the Magento Contribution requirements, all issues must go through the Community Contributions Triage process. Community Contributions Triage is a public meeting. 
:clock10: You can find the schedule on the [Magento Community Calendar page](https://www.adobe.io/open/magento/calendar).
:telephone_receiver: The triage of issues happens in the queue order. If you want to speed up the delivery of your contribution, join the Community Contributions Triage session to discuss the appropriate ticket.",comentario,{'issue_numero': 39213},2025-08-06T20:14:07.955398
comentario_issue,magento/magento2,Comentário na issue #39213,"Hi @engcom-Bravo. Thank you for working on this issue. 
In order to make sure that issue has enough information and ready for development, please read and check the following instruction: :point_down:
- [ ] 1. Verify that issue has all the required information. (**Preconditions**, **Steps to reproduce**, **Expected result**, **Actual result**).
- [ ] 2. Verify that issue has a meaningful description and provides enough information to reproduce the issue. 
- [ ] 3. Add `Area: XXXXX` label to the ticket, indicating the functional areas it may be related to.
- [ ] 4. Verify that the issue is reproducible on `2.4-develop` branch<details><summary>Details</summary>- If the issue is reproducible on `2.4-develop` branch, please, add the label `Reproduced on 2.4.x`.<br/>- If the issue is not reproducible, add your comment that issue is not reproducible and close the issue and **_stop verification process here_**!</details>
- [ ] 5. Add label `Issue: Confirmed` once verification is complete. 
- [ ] 6. Make sure that automatic system confirms that report has been added to the backlog.",comentario,{'issue_numero': 39213},2025-08-06T20:14:07.955398
comentario_issue,magento/magento2,Comentário na issue #39213,"Hi @felek000,

Thanks for your reporting and collaboration.

Could you please let us know for which of the mutation you are facing an issue.Could you please follow the document https://developer.adobe.com/commerce/webapi/graphql/usage/ for the graphql usage and let us know if you are still facing any issue.

Thanks.",comentario,{'issue_numero': 39213},2025-08-06T20:14:07.955398
issue,magento/magento2,After store switch page comes from cache(Store switcher not working) in 2.4.8,"Issue: After store switch page comes from cache(Store switcher not working) in 2.4.8

Descrição: ### Preconditions and environment

- Magento version: 2.4.8


### Steps to reproduce

- Create multiple storeview from admin
- From header switch the storeview

![Image](https://github.com/user-attachments/assets/dd257806-17b0-4827-baf2-4b25458af828)



### Expected result

- After store switch store not switced as expected. Working fine after cache clean from admin

![Image](https://github.com/user-attachments/assets/7f5657a2-4de3-4fec-afea-a3a5b6d86f29)

### Actual result

- Without cache clean only switch the storeview

![Image](https://github.com/user-attachments/assets/d6b5f80e-f7ae-4641-8ef8-8d63b8f0f4f3)

### Additional information

It's a critical issue as almost all users use multi-store switch functionality.

### Release note

_No response_

### Triage and priority

- [ ] Severity: **S0** _- Affects critical data or functionality and leaves users without workaround._
- [ ] Severity: **S1** _- Affects critical data or functionality and forces users to employ a workaround._
- [ ] Severity: **S2** _- Affects non-critical data or functionality and forces users to employ a workaround._
- [ ] Severity: **S3** _- Affects non-critical data or functionality and does not force users to employ a workaround._
- [ ] Severity: **S4** _- Affects aesthetics, professional look and feel, “quality” or “usability”._",issue_fechada,"{'labels': ['reported on 2.4.8', 'priority: p2', 'area: catalog', 'reproduced on 2.4.x', 'component: store', 'issue: confirmed', 'progress: done'], 'numero': 39806, 'relevante': False, 'comentarios': 15}",2025-08-06T20:14:08.712876
comentario_issue,magento/magento2,Comentário na issue #39806,"Hi @rutvik-monpara. Thank you for your report. 
To speed up processing of this issue, make sure that the issue is reproducible on the vanilla Magento instance following **Steps to reproduce**. 
- For more details, review the [Magento Contributor Assistant](https://developer.adobe.com/commerce/contributor/guides/code-contributions/#contributor-assistant) documentation.
- Add a comment to [assign the issue](https://developer.adobe.com/commerce/contributor/guides/code-ontributions/#assigning-an-issue): `@magento I am working on this` 
- To learn more about issue processing workflow, refer to the [Code Contributions](https://developer.adobe.com/commerce/contributor/guides/code-contributions/).
---
Join [Magento Community Engineering Slack](https://developer.adobe.com/open/magento/slack) and ask your questions in [#github](https://magentocommeng.slack.com/messages/C7KB93M32) channel. 
 :warning: According to the Magento Contribution requirements, all issues must go through the Community Contributions Triage process. Community Contributions Triage is a public meeting. 
:clock10: You can find the schedule on the [Magento Community Calendar page](https://www.adobe.io/open/magento/calendar).
:telephone_receiver: The triage of issues happens in the queue order. If you want to speed up the delivery of your contribution, join the Community Contributions Triage session to discuss the appropriate ticket.",comentario,{'issue_numero': 39806},2025-08-06T20:14:09.444066
comentario_issue,magento/magento2,Comentário na issue #39806,"Hi @engcom-Bravo. Thank you for working on this issue. 
In order to make sure that issue has enough information and ready for development, please read and check the following instruction: :point_down:
- [ ] 1. Verify that issue has all the required information. (**Preconditions**, **Steps to reproduce**, **Expected result**, **Actual result**).
- [ ] 2. Verify that issue has a meaningful description and provides enough information to reproduce the issue. 
- [ ] 3. Add `Area: XXXXX` label to the ticket, indicating the functional areas it may be related to.
- [ ] 4. Verify that the issue is reproducible on `2.4-develop` branch<details><summary>Details</summary>- If the issue is reproducible on `2.4-develop` branch, please, add the label `Reproduced on 2.4.x`.<br/>- If the issue is not reproducible, add your comment that issue is not reproducible and close the issue and **_stop verification process here_**!</details>
- [ ] 5. Add label `Issue: Confirmed` once verification is complete. 
- [ ] 6. Make sure that automatic system confirms that report has been added to the backlog.",comentario,{'issue_numero': 39806},2025-08-06T20:14:09.444066
comentario_issue,magento/magento2,Comentário na issue #39806,"Hi @rutvik-monpara,

Thanks for your reporting and collaboration.

we have tried to reproduce the issue in Latest 2.4-develop instance and we are able to reproduce the issue.kindly refer the attached video.


https://github.com/user-attachments/assets/88d3fc93-c9ab-466f-a69f-4544fcc84a10


Note : after cache clean it is working as expected.

store switch is not working.


Hence Confirming the issue.

Thanks.",comentario,{'issue_numero': 39806},2025-08-06T20:14:09.444066
issue,magento/magento2,Not much saying error ScopedTierPriceManagement::add,"Issue: Not much saying error ScopedTierPriceManagement::add

Descrição: ### Preconditions (*)

1. 2.3.4-p2

### Steps to reproduce (*)
Programatically create tier prices via ScopedTierPriceManagement::add


### Expected result (*)
1. Error message that explains why it failed to add the tier price.
1. h3. Actual result (*)
1. Very confusing error message: The group price couldn't be saved.


## 
Please provide [Severity](https://devdocs.magento.com/guides/v2.3/contributor-guide/contributing.html#backlog) assessment for the Issue as Reporter. This information will help during Confirmation and Issue triage processes.

- < > Severity: **S0** *- Affects critical data or functionality and leaves users without workaround.*
- < > Severity: **S1** *- Affects critical data or functionality and forces users to employ a workaround.*
- < > Severity: **S2** *- Affects non-critical data or functionality and forces users to employ a workaround.*
- < > Severity: **S3** *- Affects non-critical data or functionality and does not force users to employ a workaround.*
- <X> Severity: **S4** *- Affects aesthetics, professional look and feel, “quality” or “usability”.*",issue_fechada,"{'labels': ['reproduced on 2.4.x', 'reported on 2.3.4-p2', 'issue: confirmed', 'progress: ready for dev', 'triage: dev.experience', 'priority: p3'], 'numero': 28617, 'relevante': False, 'comentarios': 21}",2025-08-06T20:14:10.222970
comentario_issue,magento/magento2,Comentário na issue #28617,"Hi @janssensjelle. Thank you for your report. 
To help us process this issue please make sure that you provided the following information:
- Summary of the issue
- Information on your environment
- Steps to reproduce
- Expected and actual results

Please make sure that the issue is reproducible on the vanilla Magento instance following **Steps to reproduce**. To deploy vanilla Magento instance on our environment, please, add a comment to the issue: 

`@magento give me 2.4-develop instance` - upcoming 2.4.x release

For more details, please, review the [Magento Contributor Assistant](https://devdocs.magento.com/guides/v2.3/contributor-guide/contributing.html#contributor-assist) documentation.

Please, add a comment to [assign the issue](https://devdocs.magento.com/guides/v2.3/contributor-guide/contributing.html#assigning-an-issue): `@magento I am working on this` 

---
-  Join [Magento Community Engineering Slack](https://opensource.magento.com/slack) and ask your questions in [#github](https://magentocommeng.slack.com/messages/C7KB93M32) channel.",comentario,{'issue_numero': 28617},2025-08-06T20:14:11.301074
comentario_issue,magento/magento2,Comentário na issue #28617,"Hi @janssensjelle! :wave: 
 Thank you for joining. Please accept team invitation :point_right: [here](https://github.com/orgs/magento/invitation) :point_left: and add your comment one more time.",comentario,{'issue_numero': 28617},2025-08-06T20:14:11.301074
issue,magento/magento2,AbstractCarrierInterface::collectRates() has incorrect return signature,"Issue: AbstractCarrierInterface::collectRates() has incorrect return signature

Descrição: ### Summary

[\Magento\Shipping\Model\Carrier\AbstractCarrierInterface::collectRates](https://github.com/magento/magento2/blob/dc6d0b01fff3988f706f718e16d877bb4b1dea91/app/code/Magento/Shipping/Model/Carrier/AbstractCarrierInterface.php#L24-L31) currently has in its signature that it will return `\Magento\Framework\DataObject`, but technically `\Magento\Shipping\Model\Rate\Result` is used everywhere, and it does not inherit the DataObject, so the signature is, de facto, incorrect.

### Examples

[\Magento\Shipping\Model\Shipping](https://github.com/magento/magento2/blob/dc6d0b01fff3988f706f718e16d877bb4b1dea91/app/code/Magento/Shipping/Model/Shipping.php#L197-L264):

```
        if (!$result) {
            //One shipment for all items.
            $result = $carrier->collectRates($request);
        }

        if (!$result) {
            return $this;
        } elseif ($result instanceof Result) { // use Magento\Shipping\Model\Rate\Result;
            $this->getResult()->appendResult($result, $carrier->getConfigData('showmethod') != 0);
        } else {
            $this->getResult()->append($result);
        }
```

Both append methods expect the result class:

```
    /**
     * Append result received from a carrier.
     *
     * @param Result $result
     * @param bool $appendFailed Append result's errors as well.
     * @return void
     */
    public function appendResult(Result $result, bool $appendFailed): void
    {
        $this->results[] = ['result' => $result, 'appendFailed' => $appendFailed];
    }
```

```
    /**
     * Add a rate to the result
     *
     * @param \Magento\Quote\Model\Quote\Address\RateResult\AbstractResult|\Magento\Shipping\Model\Rate\Result $result
     * @return $this
     */
    public function append($result)
    {
        if ($result instanceof \Magento\Quote\Model\Quote\Address\RateResult\Er",issue_fechada,"{'labels': ['reproduced on 2.4.x', 'issue: ready for confirmation', 'severity: s3', 'issue: confirmed', 'progress: ready for dev', 'triage: dev.experience', 'priority: p3'], 'numero': 28514, 'relevante': False, 'comentarios': 7}",2025-08-06T20:14:13.014108
comentario_issue,magento/magento2,Comentário na issue #28514,"Hi @kassner. Thank you for your report. 
To help us process this issue please make sure that you provided the following information:
- Summary of the issue
- Information on your environment
- Steps to reproduce
- Expected and actual results

Please make sure that the issue is reproducible on the vanilla Magento instance following **Steps to reproduce**. To deploy vanilla Magento instance on our environment, please, add a comment to the issue: 

`@magento give me 2.4-develop instance` - upcoming 2.4.x release

For more details, please, review the [Magento Contributor Assistant](https://devdocs.magento.com/guides/v2.3/contributor-guide/contributing.html#contributor-assist) documentation.

Please, add a comment to [assign the issue](https://devdocs.magento.com/guides/v2.3/contributor-guide/contributing.html#assigning-an-issue): `@magento I am working on this` 

---
-  Join [Magento Community Engineering Slack](https://opensource.magento.com/slack) and ask your questions in [#github](https://magentocommeng.slack.com/messages/C7KB93M32) channel.",comentario,{'issue_numero': 28514},2025-08-06T20:14:13.916520
comentario_issue,magento/magento2,Comentário na issue #28514,This issue has been automatically marked as stale because it has not had recent activity. It will be closed after 14 days if no further activity occurs. Thank you for your contributions.,comentario,{'issue_numero': 28514},2025-08-06T20:14:13.916520
issue,magento/magento2,[Issue] Remove sprintf usage in phrase calls,"Issue: [Issue] Remove sprintf usage in phrase calls

Descrição: This issue is automatically created based on existing pull request: magento/magento2#40033: Remove sprintf usage in phrase calls

---------
### Description (*)
Remove the usage of sprintf in the phrase function call in the Magento core.
Using sprintf to interpolate variable in the phrase prevent the phrase to be localized by said function.

### Related Pull Requests
<!-- related pull request placeholder -->

### Fixed Issues (if relevant)
<!---
    If relevant, please provide a list of fixed issues in the format magento/magento2#<issue_number>.
    There could be 1 or more issues linked here and it will help us find some more information about the reasoning behind this change.
-->
1. Fixes magento/magento2#<issue_number>

### Manual testing scenarios (*)
<!---
    Please provide a set of unambiguous steps to test the proposed code change.
    Giving us manual testing scenarios will help with the processing and validation process.
-->
1. ...
2. ...

### Questions or comments
It exists other cases in Magento packages, but some are closed to public contribution.

### Contribution checklist (*)
 - [ ] Pull request has a meaningful description of its purpose
 - [ ] All commits are accompanied by meaningful commit messages
 - [ ] All new or changed code is covered with unit/integration tests (if applicable)
 - [ ] README.md files for modified modules are updated and included in the pull request if any [README.md predefined sections](https://github.com/magento/devdocs/wiki/Magento-module-README.md) require an update
 - [ ] All automated tests passed successfully (all builds are green)",issue_fechada,"{'labels': ['area: framework', 'reproduced on 2.4.x', 'reported on 2.4.x', 'issue: confirmed', 'component: framework/code', 'triage: dev.experience', 'priority: p3'], 'numero': 40050, 'relevante': False, 'comentarios': 4}",2025-08-06T20:14:14.735618
comentario_issue,magento/magento2,Comentário na issue #40050,"Hi @engcom-Dash. Thank you for working on this issue. 
In order to make sure that issue has enough information and ready for development, please read and check the following instruction: :point_down:
- 1. Verify that issue has all the required information. (**Preconditions**, **Steps to reproduce**, **Expected result**, **Actual result**).
- 2. Verify that issue has a meaningful description and provides enough information to reproduce the issue.
- 3. Add `Area: XXXXX` label to the ticket, indicating the functional areas it may be related to.
- 4. Verify that the issue is reproducible on `2.4-develop` branch<details><summary>Details</summary>- If the issue is reproducible on `2.4-develop` branch, please, add the label `Reproduced on 2.4.x`.<br/>- If the issue is not reproducible, add your comment that issue is not reproducible and close the issue and **_stop verification process here_**!</details>

---
-  Join [Magento Community Engineering Slack](https://developer.adobe.com/open/magento/slack) and ask your questions in [#github](https://magentocommeng.slack.com/messages/C7KB93M32) channel.",comentario,{'issue_numero': 40050},2025-08-06T20:14:15.526825
comentario_issue,magento/magento2,Comentário na issue #40050,"@thomas-kl1  Thank you for reporting & collaboration!

As mentioned in th https://github.com/magento/magento2/pull/40033#issuecomment-3088554278 the associated PR removed the sprintf() usage from the phrase __(). sprintf() inside phrase can cause the localization issue. 

Hence confirming the issue.",comentario,{'issue_numero': 40050},2025-08-06T20:14:15.526825
comentario_issue,magento/magento2,Comentário na issue #40050,:white_check_mark: Jira issue https://jira.corp.adobe.com/browse/AC-15183 is successfully created for this GitHub issue.,comentario,{'issue_numero': 40050},2025-08-06T20:14:15.526825
documentacao,magento/magento2,Documentação: README.md,"<p align=""center"">
<a href=""https://www.codetriage.com/magento/magento2""><img src=""https://www.codetriage.com/magento/magento2/badges/users.svg"" alt=""Open Source Helpers"" /></a>
<a href=""https://gitter.im/magento/magento2?utm_source=badge&amp;utm_medium=badge&amp;utm_campaign=pr-badge""><img src=""https://badges.gitter.im/Join%20Chat.svg"" alt=""Gitter"" /></a> <a href=""https://crowdin.com/project/magento-2""><img src=""https://d322cqt584bo4o.cloudfront.net/magento-2/localized.svg"" alt=""Crowdin"" /></a><br/>
<a href=""https://magento.com/products/magento-open-source"">
<img alt=""Adobe logo"" height=""50px"" src=""https://www.adobe.com/content/dam/cc/icons/Adobe_Corporate_Horizontal_Red_HEX.svg""/>
</a>
</p>

<h1 align=""center"">Magento Open Source</h1>

Welcome to the Magento Open Source project! [Magento Open Source](https://magento.com/products/magento-open-source) software delivers basic eCommerce capabilities to build a unique online store from the ground up.

However, for those who need a full-featured eCommerce solution, we recommend [Adobe Commerce](https://magento.com/products/magento-commerce), which includes our optimized cloud architecture and hosting as well as AI-powered merchandising and analytics.

## Get started

- [Quick start install](https://experienceleague.adobe.com/docs/commerce-operations/installation-guide/composer.html)
- [System requirements](https://experienceleague.adobe.com/docs/commerce-operations/installation-guide/system-requirements.html)
- [Prerequisites](https://experienceleague.adobe.com/docs/commerce-operations/installation-guide/prerequisites/overview.html)
- [More installation options](https://experienceleague.adobe.com/docs/commerce-operations/installation-guide/overview.html)

## Get help

- [Help center](https://support.magento.com/hc/en-us)

## Contribute

Our [Community](https://opensource.magento.com/) is large and diverse, and our project is enormous. As a contributor, you have countless opportunities to impact product development and",documentacao,"{'arquivo': 'README.md', 'tamanho': 6695}",2025-08-06T20:14:18.143305
issue,nopSolutions/nopCommerce,Exception thrown: 'System.InvalidOperationException' in System.Private.CoreLib.dll: 'The given ColumnMapping does not match up with any column in the source or destination.',"Issue: Exception thrown: 'System.InvalidOperationException' in System.Private.CoreLib.dll: 'The given ColumnMapping does not match up with any column in the source or destination.'

Descrição: Upgrading from 3.8 to 4.9 using following Environment:

1. Windows 11
2. SQL server 2008 R2 SP3
3. vscode

and have done the following:

1. pulled current developer branch
2. cloned current production store DB
3. run the 3.9 to 4.3 upgrade SQL scripts on our cloned production store DB
4. Installed and built developer branch without errors
5. start app, get install page
6. fill out install form with correct admin store credentials and raw connection string

Results are:

1. breaks on exception `Exception has occurred: CLR/System.InvalidOperationException
Exception thrown: 'System.InvalidOperationException' in System.Private.CoreLib.dll: 'The given ColumnMapping does not match up with any column in the source or destination.'
   at Microsoft.Data.SqlClient.SqlBulkCopy.AnalyzeTargetAndCreateUpdateBulkCommand(BulkCopySimpleResultSet internalResults)
   at Microsoft.Data.SqlClient.SqlBulkCopy.WriteToServerInternalRestContinuedAsync(BulkCopySimpleResultSet internalResults, CancellationToken cts, TaskCompletionSource`1 source)
--- End of stack trace from previous location ---
   at LinqToDB.DataProvider.SqlServer.SqlServerBulkCopy.<>c__DisplayClass10_1`1.<<ProviderSpecificCopyInternalAsync>b__3>d.MoveNext()
   at LinqToDB.DataProvider.BasicBulkCopy.<TraceActionAsync>d__26.MoveNext()
   at LinqToDB.DataProvider.SqlServer.SqlServerBulkCopy.<ProviderSpecificCopyInternalAsync>d__10`1.MoveNext()
   at Nop.Data.DataProviders.BaseDataProvider.<BulkInsertEntitiesAsync>d__22`1.MoveNext() in C:\Users\chris\Documents\GitHub\nopCommerce\src\Libraries\Nop.Data\DataProviders\BaseDataProvider.cs:line 391`
2. Appears to be complaining that columns in the store table do not line up 
3. confirm that store table indeed was not migrated/updated with new columns
`CREATE TABLE [dbo].[Store](
	[Id] [int] I",issue_fechada,"{'labels': [], 'numero': 7800, 'relevante': False, 'comentarios': 2}",2025-08-06T20:14:25.921604
issue,nopSolutions/nopCommerce,"Homepage URL doesn't have ""/en"" when ""SEO friendly URLs with multiple languages"" setting is enabled","Issue: Homepage URL doesn't have ""/en"" when ""SEO friendly URLs with multiple languages"" setting is enabled

Descrição: Step to reproduce:
1. Create multiple languages. One of them should be ""English""
2.  Ensure ""SEO friendly URLs with multiple languages"" setting is enabled
3. Go to any page. The home page URL (a logo in the top left corder) should contain language prefix. It exists for all languages except ""English""


See: Nop.Web\Infrastructure\BaseRouteProvider.cs",issue_fechada,"{'labels': ['bug'], 'numero': 7797, 'relevante': False, 'comentarios': 0}",2025-08-06T20:14:26.965894
issue,nopSolutions/nopCommerce,Maintenance. Allow to delete image thumbs,"Issue: Maintenance. Allow to delete image thumbs

Descrição: Admin area. The Maintenance page

Add an option to delete image thumbs from the \wwwroot\images\thumbs directory. All files and directories except the placeholder.txt file.

This block will also display the following information:

- Total files: {0}
- Total file size: {0} MB

Once it's done ""Clear cache"" method should be run to avoid ""empty"" images shown",issue_fechada,"{'labels': ['functionality / feature'], 'numero': 7739, 'relevante': False, 'comentarios': 1}",2025-08-06T20:14:27.779402
issue,nopSolutions/nopCommerce,Fix popup notification setting usage,"Issue: Fix popup notification setting usage

Descrição: Hello,

I see the notification use popup setting is not working correctly.

**messagessettings.usepopupnotifications** 
This is the setting that I can set to true and false from the admin, but it's not working as expected.

The reason is that the setting is not used in the place.
 
<img width=""1195"" alt=""Image"" src=""https://github.com/user-attachments/assets/fb571406-d28c-446b-8b46-9589df1ecf71"" />

Thanks.",issue_fechada,"{'labels': ['refactoring / source code'], 'numero': 7659, 'relevante': False, 'comentarios': 1}",2025-08-06T20:14:28.475455
issue,nopSolutions/nopCommerce,MySQL Container Fails: Identifier name too long in Docker Compose Setup,"Issue: MySQL Container Fails: Identifier name too long in Docker Compose Setup

Descrição: ### Problem Description

I'm trying to run a nopCommerce + MySQL setup using Docker Compose on macOS (Macbook Air - M2 - Arm64). During container startup, MySQL fails with this error:

Setup failed: Identifier name 'FK_CustomerAttributeValue_CustomerAttributeId_CustomerAttribute_Id' is too long

### Environment

- Docker Desktop (macOS)
- MySQL 8.0
- nopCommerce with EF Core

### mysql-docker-compose.yml (partial)

```yaml
services:
  nopcommerce_web:
    build: .
    container_name: nopcommerce
    ports:
      - ""80:80""
    depends_on:
      - nopcommerce_database

  nopcommerce_database:
    image: mysql:8.0
    container_name: nopcommerce_mysql_server
    restart: always
    environment:
      MYSQL_ROOT_PASSWORD: root
      MYSQL_DATABASE: mydb
      MYSQL_USER: nopuser
      MYSQL_PASSWORD: nop123
    volumes:
      - nopcommerce_data:/var/lib/mysql

volumes:
  nopcommerce_data:

What I Tried
 - Switched to MySQL 8.0 (And also I tired with MySQL Latest but it didn't work)

 - Simplified the constraint name manually (but not sure where to modify it in EF Core)

 - Verified MySQL is up, but schema fails on setup due to long foreign key names

Help Needed
 - How to override EF Core to use shorter constraint names?

 - Or how to configure MySQL for longer identifiers if possible?

Thanks in advance!
Arun",issue_fechada,"{'labels': ['bug'], 'numero': 7796, 'relevante': False, 'comentarios': 1}",2025-08-06T20:14:29.128290
issue,nopSolutions/nopCommerce,No files found matching exist in an asset /lib_npm/jquery/jquery.min.js,"Issue: No files found matching exist in an asset /lib_npm/jquery/jquery.min.js

Descrição: This is still an issue with version 4.80.8 and the fix is simple (see below).

Remove the asp-location=""None"" from the script below:

<script asp-location=""None"" src=""~/lib_npm/jquery/jquery.min.js""></script>

Located in Presentation\Nop.Web\Areas\Admin\Views\Shared_AdminScripts.cshtml

This was reported in 4.7 but never got into 4.8 source code. Hopefully it will be in the next source code version.",issue_fechada,"{'labels': ['bug'], 'numero': 7773, 'relevante': False, 'comentarios': 2}",2025-08-06T20:14:29.836508
issue,nopSolutions/nopCommerce,Property MessageTokensAddedEvent.Tokens does not require a typed parameter U,"Issue: Property MessageTokensAddedEvent.Tokens does not require a typed parameter U

Descrição: The Tokens property from the MessageTokensAddedEvent class contains a redundant typed parameter U, this property always receives IList<Token> as a value.",issue_fechada,"{'labels': ['refactoring / source code'], 'numero': 7787, 'relevante': False, 'comentarios': 1}",2025-08-06T20:14:30.698421
issue,nopSolutions/nopCommerce,Property EntityTokensAddedEvent.Tokens does not require a typed parameter U,"Issue: Property EntityTokensAddedEvent.Tokens does not require a typed parameter U

Descrição: The Tokens property from the EntityTokensAddedEvent class contains a redundant typed parameter U, this property always receives IList<Token> as a value.",issue_fechada,"{'labels': ['refactoring / source code'], 'numero': 7786, 'relevante': False, 'comentarios': 1}",2025-08-06T20:14:31.720791
